asset,strategy,oos_cagr,oos_cagr_buyhold,oos_max_dd,oos_sharpe,oos_sharpe_buyhold,subperiods_beaten,edge_ok,dd_ok,sharpe_ok,subperiods_ok,PASSED
LQQ,mean_reversion,-0.006636196255288773,0.2952694584163178,-0.6669674507867701,0.13344872923037354,0.8226309110483413,0/5,False,True,False,False,False
LQQ,momentum,0.17533129968750383,0.2952694584163178,-0.2768289815270857,0.7835307653615301,0.8226309110483413,1/5,False,True,False,False,False
LQQ,buy_and_hold,0.2952694584163178,0.2952694584163178,-0.6120960506812525,0.8226309110483413,0.8226309110483413,0/5,False,True,True,False,False
QQQ3,mean_reversion,-0.04804170253528839,0.34232486402252094,-0.8413576520453053,0.1310576802112889,0.7776594326956654,0/5,False,False,False,False,False
QQQ3,momentum,0.18390178632426935,0.34232486402252094,-0.49156052877397005,0.6528665199262422,0.7776594326956654,1/5,False,True,False,False,False
QQQ3,buy_and_hold,0.34232486402252094,0.34232486402252094,-0.8134951932015962,0.7776594326956654,0.7776594326956654,0/5,False,False,True,False,False
XS2D,mean_reversion,-0.0014675874767617891,0.22737039623594413,-0.5934877222485013,0.12872093757158862,0.7507679059405055,0/5,False,True,False,False,False
XS2D,momentum,0.12414981830396132,0.22737039623594413,-0.2094774892669934,0.7356479756552418,0.7507679059405055,1/5,False,True,False,False,False
XS2D,buy_and_hold,0.22737039623594413,0.22737039623594413,-0.5931336132989136,0.7507679059405055,0.7507679059405055,0/5,False,True,True,False,False
3USL,mean_reversion,0.021157389538683402,0.2377873079310895,-0.6931163878145868,0.2570204819232207,0.6691291697751903,0/5,False,True,False,False,False
3USL,momentum,0.17852179147666924,0.2377873079310895,-0.25163126321226537,0.7703748008721211,0.6691291697751903,2/5,False,True,True,False,False
3USL,buy_and_hold,0.2377873079310895,0.2377873079310895,-0.7671938114659894,0.6691291697751903,0.6691291697751903,0/5,False,False,True,False,False
